 >TARCYLCAP  cylinder with end-caps: Length= 97.3000 Diameter= 17.6000
     27008 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -49.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    321  30   2  -8 1 1 1
    322  31   2  -8 1 1 1
    323  32   2  -8 1 1 1
    324  33   2  -8 1 1 1
    325  34   2  -8 1 1 1
    326  35   2  -8 1 1 1
    327  36   2  -8 1 1 1
    328  37   2  -8 1 1 1
    329  38   2  -8 1 1 1
    330  39   2  -8 1 1 1
    331  40   2  -8 1 1 1
    332  41   2  -8 1 1 1
    333  42   2  -8 1 1 1
    334  43   2  -8 1 1 1
    335  44   2  -8 1 1 1
    336  45   2  -8 1 1 1
    337  46   2  -8 1 1 1
    338  47   2  -8 1 1 1
    339  48   2  -8 1 1 1
    340  49   2  -8 1 1 1
    341  50   2  -8 1 1 1
    342  51   2  -8 1 1 1
    343  52   2  -8 1 1 1
    344  53   2  -8 1 1 1
    345  54   2  -8 1 1 1
    346  55   2  -8 1 1 1
    347  56   2  -8 1 1 1
    348  57   2  -8 1 1 1
    349  58   2  -8 1 1 1
    350  59   2  -8 1 1 1
    351  60   2  -8 1 1 1
    352  61   2  -8 1 1 1
    353  62   2  -8 1 1 1
    354  63   2  -8 1 1 1
    355  64   2  -8 1 1 1
    356  65   2  -8 1 1 1
    357  66   2  -8 1 1 1
    358  67   2  -8 1 1 1
    359  68   2  -8 1 1 1
    360  69   2  -8 1 1 1
    361  70   2  -8 1 1 1
    362  71   2  -8 1 1 1
    363  72   2  -8 1 1 1
    364  73   2  -8 1 1 1
    365  74   2  -8 1 1 1
    366  75   2  -8 1 1 1
    367  76   2  -8 1 1 1
    368  77   2  -8 1 1 1
    369  78   2  -8 1 1 1
    370  79   2  -8 1 1 1
    371  80   2  -8 1 1 1
    372  81   2  -8 1 1 1
    373  82   2  -8 1 1 1
    374  83   2  -8 1 1 1
    375  84   2  -8 1 1 1
