 >TARCYLCAP  cylinder with end-caps: Length= 50.0000 Diameter= 14.0000
      9272 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -25.50000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    680  30   4  -5 1 1 1
    681  31   4  -5 1 1 1
    682  32   4  -5 1 1 1
    683  33   4  -5 1 1 1
    684  34   4  -5 1 1 1
    685  35   4  -5 1 1 1
    686  36   4  -5 1 1 1
    687  37   4  -5 1 1 1
    688  38   4  -5 1 1 1
    689  39   4  -5 1 1 1
    690  40   4  -5 1 1 1
    691  41   4  -5 1 1 1
    692  42   4  -5 1 1 1
    693  43   4  -5 1 1 1
    694  44   4  -5 1 1 1
    695  45   4  -5 1 1 1
    696  46   4  -5 1 1 1
    697  47   4  -5 1 1 1
    698  48   4  -5 1 1 1
    699  49   4  -5 1 1 1
    700  50   4  -5 1 1 1
    701   1  -4  -4 1 1 1
    702   2  -4  -4 1 1 1
    703   3  -4  -4 1 1 1
    704   4  -4  -4 1 1 1
    705   5  -4  -4 1 1 1
    706   6  -4  -4 1 1 1
    707   7  -4  -4 1 1 1
    708   8  -4  -4 1 1 1
    709   9  -4  -4 1 1 1
    710  10  -4  -4 1 1 1
    711  11  -4  -4 1 1 1
    712  12  -4  -4 1 1 1
    713  13  -4  -4 1 1 1
    714  14  -4  -4 1 1 1
    715  15  -4  -4 1 1 1
    716  16  -4  -4 1 1 1
    717  17  -4  -4 1 1 1
    718  18  -4  -4 1 1 1
    719  19  -4  -4 1 1 1
    720  20  -4  -4 1 1 1
    721  21  -4  -4 1 1 1
    722  22  -4  -4 1 1 1
    723  23  -4  -4 1 1 1
    724  24  -4  -4 1 1 1
    725  25  -4  -4 1 1 1
    726  26  -4  -4 1 1 1
    727  27  -4  -4 1 1 1
    728  28  -4  -4 1 1 1
    729  29  -4  -4 1 1 1
    730  30  -4  -4 1 1 1
    731  31  -4  -4 1 1 1
    732  32  -4  -4 1 1 1
    733  33  -4  -4 1 1 1
    734  34  -4  -4 1 1 1
    735  35  -4  -4 1 1 1
    736  36  -4  -4 1 1 1
    737  37  -4  -4 1 1 1
    738  38  -4  -4 1 1 1
    739  39  -4  -4 1 1 1
    740  40  -4  -4 1 1 1
    741  41  -4  -4 1 1 1
    742  42  -4  -4 1 1 1
    743  43  -4  -4 1 1 1
    744  44  -4  -4 1 1 1
    745  45  -4  -4 1 1 1
    746  46  -4  -4 1 1 1
    747  47  -4  -4 1 1 1
    748  48  -4  -4 1 1 1
    749  49  -4  -4 1 1 1
    750  50  -4  -4 1 1 1
    751   1  -3  -4 1 1 1
    752   2  -3  -4 1 1 1
    753   3  -3  -4 1 1 1
    754   4  -3  -4 1 1 1
    755   5  -3  -4 1 1 1
    756   6  -3  -4 1 1 1
    757   7  -3  -4 1 1 1
    758   8  -3  -4 1 1 1
    759   9  -3  -4 1 1 1
    760  10  -3  -4 1 1 1
    761  11  -3  -4 1 1 1
    762  12  -3  -4 1 1 1
    763  13  -3  -4 1 1 1
    764  14  -3  -4 1 1 1
    765  15  -3  -4 1 1 1
    766  16  -3  -4 1 1 1
    767  17  -3  -4 1 1 1
    768  18  -3  -4 1 1 1
    769  19  -3  -4 1 1 1
    770  20  -3  -4 1 1 1
    771  21  -3  -4 1 1 1
    772  22  -3  -4 1 1 1
    773  23  -3  -4 1 1 1
    774  24  -3  -4 1 1 1
    775  25  -3  -4 1 1 1
    776  26  -3  -4 1 1 1
    777  27  -3  -4 1 1 1
    778  28  -3  -4 1 1 1
    779  29  -3  -4 1 1 1
    780  30  -3  -4 1 1 1
    781  31  -3  -4 1 1 1
    782  32  -3  -4 1 1 1
    783  33  -3  -4 1 1 1
    784  34  -3  -4 1 1 1
    785  35  -3  -4 1 1 1
    786  36  -3  -4 1 1 1
    787  37  -3  -4 1 1 1
    788  38  -3  -4 1 1 1
    789  39  -3  -4 1 1 1
    790  40  -3  -4 1 1 1
    791  41  -3  -4 1 1 1
    792  42  -3  -4 1 1 1
    793  43  -3  -4 1 1 1
    794  44  -3  -4 1 1 1
    795  45  -3  -4 1 1 1
    796  46  -3  -4 1 1 1
    797  47  -3  -4 1 1 1
